stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,stop_timezone,wheelchair_boarding,stp_has_shelter
10985,10985,"Main Ave & VanWoert Ct",,42.69726,-73.64662,0,https://www.cdta.org/schedules-stop-detail?stop_id=10985,0,America/New_York,1,0
10986,10986,"Main Ave & Atlantic Ave",,42.69627,-73.64196,0,https://www.cdta.org/schedules-stop-detail?stop_id=10986,0,America/New_York,1,0
10988,10988,"Hudson Valley Community College",,42.69630,-73.68781,0,https://www.cdta.org/schedules-stop-detail?stop_id=10988,0,America/New_York,1,1
10989,10989,"River St & Rensselaer St",,42.74312,-73.68493,0,https://www.cdta.org/schedules-stop-detail?stop_id=10989,0,America/New_York,1,0
10990,10990,"River St & Ingalls Ave",,42.74704,-73.68300,0,https://www.cdta.org/schedules-stop-detail?stop_id=10990,0,America/New_York,1,0
10994,10994,"Morrison Ave & Vandenburg Ave",,42.700404,-73.689533,0,https://www.cdta.org/schedules-stop-detail?stop_id=10994,0,America/New_York,1,0
10995,10995,"Broadway & N. Ferry St",,42.660493,-73.745398,0,https://www.cdta.org/schedules-stop-detail?stop_id=10995,0,America/New_York,1,0
10996,10996,"Broadway & Bridge St",,42.666023,-73.741832,0,https://www.cdta.org/schedules-stop-detail?stop_id=10996,0,America/New_York,1,0
10997,10997,"Broadway & Erie St",,42.67076,-73.73886,0,https://www.cdta.org/schedules-stop-detail?stop_id=10997,0,America/New_York,1,0
10998,10998,"Broadway & Lawn Ave",,42.67502,-73.73626,0,https://www.cdta.org/schedules-stop-detail?stop_id=10998,0,America/New_York,1,0
11000,11000,"Broadway & Menand Rd",,42.69438,-73.72237,0,https://www.cdta.org/schedules-stop-detail?stop_id=11000,0,America/New_York,1,0
11001,11001,"Route 378 Station - 563 Broadway",,42.70230,-73.71584,0,https://www.cdta.org/schedules-stop-detail?stop_id=11001,0,America/New_York,1,1
11004,11004,"Broadway & 3rd Ave",,42.71625,-73.70355,0,https://www.cdta.org/schedules-stop-detail?stop_id=11004,0,America/New_York,1,0
11005,11005,"North Albany Station - Broadway & N. 2nd St",,42.671924,-73.738318,0,https://www.cdta.org/schedules-stop-detail?stop_id=11005,0,America/New_York,1,1
11006,11006,"Broadway & 1st St",,42.67045,-73.73923,0,https://www.cdta.org/schedules-stop-detail?stop_id=11006,0,America/New_York,1,0
11021,11021,"Albany Ave & Saratoga St",,42.73582,-73.697232,0,https://www.cdta.org/schedules-stop-detail?stop_id=11021,0,America/New_York,1,0
11023,11023,"George St & Lafayette St",,42.738477,-73.693657,0,https://www.cdta.org/schedules-stop-detail?stop_id=11023,0,America/New_York,1,0
11024,11024,"George St & Hamilton St",,42.739475,-73.693345,0,https://www.cdta.org/schedules-stop-detail?stop_id=11024,0,America/New_York,1,0
11025,11025,"George St & Market St",,42.740668,-73.692923,0,https://www.cdta.org/schedules-stop-detail?stop_id=11025,0,America/New_York,1,0
11026,11026,"George St & Clinton St",,42.741922,-73.69246,0,https://www.cdta.org/schedules-stop-detail?stop_id=11026,0,America/New_York,1,0
11027,11027,"George St & Center St",,42.74319,-73.69193,0,https://www.cdta.org/schedules-stop-detail?stop_id=11027,0,America/New_York,1,0
11028,11028,"George St & Swan St",,42.74436,-73.69147,0,https://www.cdta.org/schedules-stop-detail?stop_id=11028,0,America/New_York,1,0
11029,11029,"George St & Arch St",,42.745567,-73.691147,0,https://www.cdta.org/schedules-stop-detail?stop_id=11029,0,America/New_York,1,0
11030,11030,"Arch St & Paine St",,42.745905,-73.691877,0,https://www.cdta.org/schedules-stop-detail?stop_id=11030,0,America/New_York,1,0
11032,11032,"Arch St & James St",,42.74623,-73.69347,0,https://www.cdta.org/schedules-stop-detail?stop_id=11032,0,America/New_York,1,0
11034,11034,"Arch St & Cohoes Ave",,42.746738,-73.696212,0,https://www.cdta.org/schedules-stop-detail?stop_id=11034,0,America/New_York,1,0
11036,11036,"Cohoes Rd & Tibbits Ave",,42.750368,-73.700733,0,https://www.cdta.org/schedules-stop-detail?stop_id=11036,0,America/New_York,1,0
11037,11037,"Saratoga Rd @ Hot Dog Charlies",,42.752122,-73.700802,0,https://www.cdta.org/schedules-stop-detail?stop_id=11037,0,America/New_York,1,0
11038,11038,"Saratoga Rd & Speedway Station",,42.753658,-73.700635,0,https://www.cdta.org/schedules-stop-detail?stop_id=11038,0,America/New_York,1,0
11040,11040,"Saratoga St & Spring St",,42.76163,-73.699765,0,https://www.cdta.org/schedules-stop-detail?stop_id=11040,0,America/New_York,1,0
11052,11052,"Old Loudon Rd & Holiday Inn Express",,42.761827,-73.753975,0,https://www.cdta.org/schedules-stop-detail?stop_id=11052,0,America/New_York,1,1
11053,11053,"Shoppes of Latham (Walmart)",,42.74725,-73.762282,0,https://www.cdta.org/schedules-stop-detail?stop_id=11053,0,America/New_York,1,1
11054,11054,"New Loudon Rd & Maxwell Rd",,42.724388,-73.758668,0,https://www.cdta.org/schedules-stop-detail?stop_id=11054,0,America/New_York,1,0
11055,11055,"New Loudon Rd & Spring Street Rd",,42.716013,-73.755398,0,https://www.cdta.org/schedules-stop-detail?stop_id=11055,0,America/New_York,1,1
11058,11058,"Ontario St & Olmstead St",,42.774243,-73.70258,0,https://www.cdta.org/schedules-stop-detail?stop_id=11058,0,America/New_York,1,0
11060,11060,"High St & Garner St",,42.772934445,-73.70477612,0,https://www.cdta.org/schedules-stop-detail?stop_id=11060,0,America/New_York,1,0
11065,11065,"New Loudon Rd & Burton Ln",,42.708233,-73.755167,0,https://www.cdta.org/schedules-stop-detail?stop_id=11065,0,America/New_York,1,0
11066,11066,"New Loudon Rd & Maxwell Rd",,42.724043,-73.7582,0,https://www.cdta.org/schedules-stop-detail?stop_id=11066,0,America/New_York,1,0
11067,11067,"New Loudon Rd & Stewart's",,42.729052,-73.76049,0,https://www.cdta.org/schedules-stop-detail?stop_id=11067,0,America/New_York,1,0
11083,11083,"Saratoga St & Bridge St",,42.759803,-73.6999,0,https://www.cdta.org/schedules-stop-detail?stop_id=11083,0,America/New_York,1,0
11084,11084,"572 Saratoga St (CDT Automotive)",,42.75606,-73.700385,0,https://www.cdta.org/schedules-stop-detail?stop_id=11084,0,America/New_York,1,0
11085,11085,"Saratoga Rd & Speedway Station",,42.753958,-73.700618,0,https://www.cdta.org/schedules-stop-detail?stop_id=11085,0,America/New_York,1,0
